Participant ID,Post Order,Post_ID,Trusted_Headline_with_map,Suspicious_Headline_with_map,Trusted_Headline_with_photo,Suspicious_Headline_with_photo,Trusted_Headline_only,Suspicious_Headline_only,Trust,Time,Interest_Maps,Proficiency_Maps,Experienced_Climate,Interest_Climate,Trust_Researchers,Trust_Climate
102,6,1,1,0,0,0,0,0,4,0.86215066,4,3,4,3,3,3
230,7,1,1,0,0,0,0,0,4,0.416835495,2,1,4,1,4,1
112,1,1,1,0,0,0,0,0,4,0.121557556,5,5,5,5,5,3
224,7,1,1,0,0,0,0,0,4,0.042721791,4,4,3,3,3,3
232,8,1,1,0,0,0,0,0,4,-0.150665133,4,4,3,4,4,3
216,1,1,1,0,0,0,0,0,4,-0.212968847,4,2,4,2,3,2
218,3,1,1,0,0,0,0,0,4,-0.443780204,4,3,4,3,3,4
238,4,1,1,0,0,0,0,0,4,-0.46480529,4,3,5,4,4,3
114,8,1,1,0,0,0,0,0,4,-0.880794045,4,4,5,3,5,3
222,4,1,1,0,0,0,0,0,4,-0.939780274,4,3,3,3,3,3
214,7,1,1,0,0,0,0,0,4,-0.993255824,3,3,4,3,3,3
236,8,1,1,0,0,0,0,0,4,-2.045317978,3,2,3,3,4,4
208,4,1,1,0,0,0,0,0,3,1.856162738,3,1,3,2,4,4
104,2,1,1,0,0,0,0,0,3,1.782141242,4,3,3,3,3,2
116,4,1,1,0,0,0,0,0,3,1.408814071,4,4,4,3,4,3
118,2,1,1,0,0,0,0,0,3,1.273622393,4,3,5,4,5,5
206,4,1,1,0,0,0,0,0,3,1.17237893,4,3,5,5,4,2
204,6,1,1,0,0,0,0,0,3,0.807401992,4,2,5,2,4,3
108,5,1,1,0,0,0,0,0,3,0.670263084,5,3,3,4,5,3
220,8,1,1,0,0,0,0,0,3,0.384665528,4,3,2,2,4,2
212,3,1,1,0,0,0,0,0,3,-0.08113136,3,2,4,3,3,2
228,1,1,1,0,0,0,0,0,3,-0.290319228,4,2,4,4,4,4
210,7,1,1,0,0,0,0,0,3,-0.308543523,3,2,4,4,3,3
240,2,1,1,0,0,0,0,0,3,-1.133844756,4,2,4,3,4,5
101,7,1,0,0,0,0,1,0,3,-1.0519309,4,5,5,5,5,4
109,2,1,0,0,0,0,1,0,3,0.214008273,4,2,4,4,3,4
111,7,1,0,0,0,0,1,0,3,-1.575221735,5,4,5,4,5,3
215,3,1,0,0,0,0,1,0,3,-0.462243496,3,1,2,3,5,4
106,1,1,1,0,0,0,0,0,2,0.715850213,4,4,4,4,4,3
110,8,1,1,0,0,0,0,0,2,0.612196505,5,5,4,3,4,3
234,7,1,1,0,0,0,0,0,2,0.133952364,5,4,5,3,3,4
202,8,1,1,0,0,0,0,0,2,-1.063305147,4,3,3,3,3,3
103,1,1,0,0,0,0,1,0,2,-1.904830423,4,2,4,5,5,4
107,1,1,0,0,0,0,1,0,2,-0.608888798,5,4,4,4,5,4
119,1,1,0,0,0,0,1,0,2,-1.489857035,5,4,4,3,4,3
203,6,1,0,0,0,0,1,0,2,-0.371705945,3,2,5,4,5,2
219,1,1,0,0,0,0,1,0,2,-0.46737192,3,4,4,3,5,2
231,1,1,0,0,0,0,1,0,2,-1.702372336,3,1,5,3,4,3
239,4,1,0,0,0,0,1,0,2,-0.11300308,4,3,4,3,3,3
226,6,1,1,0,0,0,0,0,1,-2.270270434,2,2,4,1,3,2
105,8,1,0,0,0,0,1,0,1,-1.783366917,3,4,4,2,4,4
113,5,1,0,0,0,0,1,0,1,-2.095419569,4,4,4,4,4,3
115,5,1,0,0,0,0,1,0,1,-2.475697093,4,5,4,3,4,4
117,7,1,0,0,0,0,1,0,1,-2.361056639,5,4,4,4,5,4
201,3,1,0,0,0,0,1,0,1,-1.700361976,4,1,4,3,4,3
205,3,1,0,0,0,0,1,0,1,-2.08671763,1,3,4,1,5,1
207,2,1,0,0,0,0,1,0,1,-2.281004057,4,3,4,3,4,3
209,3,1,0,0,0,0,1,0,1,-2.458340319,3,2,4,2,5,3
211,5,1,0,0,0,0,1,0,1,-1.851601273,3,4,3,3,4,4
213,6,1,0,0,0,0,1,0,1,-2.652507509,2,1,2,2,4,3
217,8,1,0,0,0,0,1,0,1,-1.614568316,3,2,4,3,4,4
221,1,1,0,0,0,0,1,0,1,-1.642034364,3,2,5,3,4,3
223,5,1,0,0,0,0,1,0,1,-1.960025695,3,2,4,3,4,4
225,8,1,0,0,0,0,1,0,1,-1.880533134,4,2,4,2,4,4
227,6,1,0,0,0,0,1,0,1,-2.577087179,5,4,3,2,4,4
229,5,1,0,0,0,0,1,0,1,-1.33152441,4,2,2,3,2,2
233,6,1,0,0,0,0,1,0,1,-1.946115707,3,2,3,2,2,2
235,8,1,0,0,0,0,1,0,1,-1.081661693,4,3,4,2,4,3
237,3,1,0,0,0,0,1,0,1,-1.069712318,5,4,4,5,4,3
241,3,1,0,0,0,0,1,0,1,-1.782833193,3,3,4,3,4,4
235,3,2,1,0,0,0,0,0,4,1.492718257,4,3,4,2,4,3
237,5,2,1,0,0,0,0,0,4,-0.318747735,5,4,4,5,4,3
231,4,2,1,0,0,0,0,0,4,-0.894885785,3,1,5,3,4,3
112,6,2,0,0,0,0,1,0,3,0.07108971,5,5,5,5,5,3
114,2,2,0,0,0,0,1,0,3,-0.962941842,4,4,5,3,5,3
116,8,2,0,0,0,0,1,0,3,0.822227237,4,4,4,3,4,3
206,1,2,0,0,0,0,1,0,3,-0.810095324,4,3,5,5,4,2
220,4,2,0,0,0,0,1,0,3,0.585779016,4,3,2,2,4,2
226,1,2,0,0,0,0,1,0,3,0.812739785,2,2,4,1,3,2
230,5,2,0,0,0,0,1,0,3,-0.162607793,2,1,4,1,4,1
227,2,2,1,0,0,0,0,0,3,1.470122136,5,4,3,2,4,4
115,2,2,1,0,0,0,0,0,3,1.430736708,4,5,4,3,4,4
239,2,2,1,0,0,0,0,0,3,1.288405955,4,3,4,3,3,3
215,7,2,1,0,0,0,0,0,3,0.959471665,3,1,2,3,5,4
109,1,2,1,0,0,0,0,0,3,0.733827701,4,2,4,4,3,4
105,1,2,1,0,0,0,0,0,3,0.684538075,3,4,4,2,4,4
207,4,2,1,0,0,0,0,0,3,0.602904022,4,3,4,3,4,3
241,2,2,1,0,0,0,0,0,3,0.559886693,3,3,4,3,4,4
111,8,2,1,0,0,0,0,0,3,0.482883224,5,4,5,4,5,3
221,7,2,1,0,0,0,0,0,3,0.430737333,3,2,5,3,4,3
203,7,2,1,0,0,0,0,0,3,0.264980131,3,2,5,4,5,2
225,1,2,1,0,0,0,0,0,3,0.221687317,4,2,4,2,4,4
209,7,2,1,0,0,0,0,0,3,0.154819012,3,2,4,2,5,3
217,7,2,1,0,0,0,0,0,3,0.127376235,3,2,4,3,4,4
119,5,2,1,0,0,0,0,0,3,-0.219094392,5,4,4,3,4,3
229,7,2,1,0,0,0,0,0,3,-1.243435274,4,2,2,3,2,2
223,7,2,1,0,0,0,0,0,3,-1.384756227,3,2,4,3,4,4
102,2,2,0,0,0,0,1,0,2,1.615349099,4,3,4,3,3,3
106,2,2,0,0,0,0,1,0,2,0.810073508,4,4,4,4,4,3
108,4,2,0,0,0,0,1,0,2,0.087641902,5,3,3,4,5,3
118,6,2,0,0,0,0,1,0,2,0.361490212,4,3,5,4,5,5
204,8,2,0,0,0,0,1,0,2,-0.268008405,4,2,5,2,4,3
208,3,2,0,0,0,0,1,0,2,1.404178556,3,1,3,2,4,4
212,6,2,0,0,0,0,1,0,2,-0.546713823,3,2,4,3,3,2
214,5,2,0,0,0,0,1,0,2,1.531197212,3,3,4,3,3,3
216,4,2,0,0,0,0,1,0,2,-0.839463257,4,2,4,2,3,2
218,7,2,0,0,0,0,1,0,2,-0.131994258,4,3,4,3,3,4
222,2,2,0,0,0,0,1,0,2,1.681223981,4,3,3,3,3,3
224,6,2,0,0,0,0,1,0,2,-0.78552779,4,4,3,3,3,3
228,2,2,0,0,0,0,1,0,2,-0.778030842,4,2,4,4,4,4
232,6,2,0,0,0,0,1,0,2,0.193662797,4,4,3,4,4,3
234,6,2,0,0,0,0,1,0,2,-1.242956836,5,4,5,3,3,4
236,4,2,0,0,0,0,1,0,2,-0.867754065,3,2,3,3,4,4
238,5,2,0,0,0,0,1,0,2,-1.001641917,4,3,5,4,4,3
240,1,2,0,0,0,0,1,0,2,-0.720475177,4,2,4,3,4,5
103,5,2,1,0,0,0,0,0,2,1.961701032,4,2,4,5,5,4
211,6,2,1,0,0,0,0,0,2,1.171913234,3,4,3,3,4,4
113,6,2,1,0,0,0,0,0,2,1.047275204,4,4,4,4,4,3
205,7,2,1,0,0,0,0,0,2,0.91304191,1,3,4,1,5,1
101,3,2,1,0,0,0,0,0,2,0.840721678,4,5,5,5,5,4
201,1,2,1,0,0,0,0,0,2,0.239773208,4,1,4,3,4,3
219,8,2,1,0,0,0,0,0,2,0.218384109,3,4,4,3,5,2
117,1,2,1,0,0,0,0,0,2,0.195698643,5,4,4,4,5,4
107,3,2,1,0,0,0,0,0,2,-0.135273661,5,4,4,4,5,4
213,1,2,1,0,0,0,0,0,2,-0.152380141,2,1,2,2,4,3
104,5,2,0,0,0,0,1,0,1,0.08705742,4,3,3,3,3,2
110,4,2,0,0,0,0,1,0,1,-0.658159627,5,5,4,3,4,3
202,2,2,0,0,0,0,1,0,1,1.163788574,4,3,3,3,3,3
210,3,2,0,0,0,0,1,0,1,-0.513929635,3,2,4,4,3,3
233,7,2,1,0,0,0,0,0,1,0.209042875,3,2,3,2,2,2
233,2,3,0,1,0,0,0,0,4,-0.038005899,3,2,3,2,2,2
211,3,3,0,1,0,0,0,0,4,-0.462647669,3,4,3,3,4,4
105,4,3,0,1,0,0,0,0,4,-0.58354411,3,4,4,2,4,4
227,7,3,0,1,0,0,0,0,4,-0.87841382,5,4,3,2,4,4
202,5,3,0,0,0,0,0,1,3,0.586246385,4,3,3,3,3,3
212,1,3,0,0,0,0,0,1,3,0.284604575,3,2,4,3,3,2
214,4,3,0,0,0,0,0,1,3,2.489819503,3,3,4,3,3,3
218,5,3,0,0,0,0,0,1,3,0.735140653,4,3,4,3,3,4
222,5,3,0,0,0,0,0,1,3,0.247788088,4,3,3,3,3,3
224,1,3,0,0,0,0,0,1,3,-0.558590865,4,4,3,3,3,3
226,2,3,0,0,0,0,0,1,3,1.082050141,2,2,4,1,3,2
236,5,3,0,0,0,0,0,1,3,-0.5151195,3,2,3,3,4,4
225,5,3,0,1,0,0,0,0,3,2.740137735,4,2,4,2,4,4
241,1,3,0,1,0,0,0,0,3,1.236707579,3,3,4,3,4,4
239,3,3,0,1,0,0,0,0,3,0.828237535,4,3,4,3,3,3
231,7,3,0,1,0,0,0,0,3,0.728759566,3,1,5,3,4,3
115,8,3,0,1,0,0,0,0,3,0.659649495,4,5,4,3,4,4
207,3,3,0,1,0,0,0,0,3,-0.077066215,4,3,4,3,4,3
213,7,3,0,1,0,0,0,0,3,-0.083372381,2,1,2,2,4,3
102,8,3,0,0,0,0,0,1,2,0.256867798,4,3,4,3,3,3
106,7,3,0,0,0,0,0,1,2,-0.005705515,4,4,4,4,4,3
108,2,3,0,0,0,0,0,1,2,0.354711074,5,3,3,4,5,3
110,6,3,0,0,0,0,0,1,2,-0.223890416,5,5,4,3,4,3
112,3,3,0,0,0,0,0,1,2,1.133027182,5,5,5,5,5,3
116,6,3,0,0,0,0,0,1,2,0.267896638,4,4,4,3,4,3
118,1,3,0,0,0,0,0,1,2,1.310201932,4,3,5,4,5,5
204,2,3,0,0,0,0,0,1,2,-0.256612375,4,2,5,2,4,3
208,8,3,0,0,0,0,0,1,2,1.220019348,3,1,3,2,4,4
216,3,3,0,0,0,0,0,1,2,0.065344474,4,2,4,2,3,2
220,2,3,0,0,0,0,0,1,2,0.388525998,4,3,2,2,4,2
230,3,3,0,0,0,0,0,1,2,0.309574157,2,1,4,1,4,1
238,1,3,0,0,0,0,0,1,2,-0.655750284,4,3,5,4,4,3
240,7,3,0,0,0,0,0,1,2,-1.132410732,4,2,4,3,4,5
215,1,3,0,1,0,0,0,0,2,1.851379226,3,1,2,3,5,4
235,7,3,0,1,0,0,0,0,2,1.375714892,4,3,4,2,4,3
113,4,3,0,1,0,0,0,0,2,1.317735998,4,4,4,4,4,3
223,4,3,0,1,0,0,0,0,2,1.28201511,3,2,4,3,4,4
217,6,3,0,1,0,0,0,0,2,0.869455376,3,2,4,3,4,4
219,5,3,0,1,0,0,0,0,2,0.530606465,3,4,4,3,5,2
103,3,3,0,1,0,0,0,0,2,0.483790468,4,2,4,5,5,4
109,3,3,0,1,0,0,0,0,2,0.344776256,4,2,4,4,3,4
237,8,3,0,1,0,0,0,0,2,0.187411603,5,4,4,5,4,3
229,8,3,0,1,0,0,0,0,2,0.076312275,4,2,2,3,2,2
209,1,3,0,1,0,0,0,0,2,-0.025345171,3,2,4,2,5,3
107,8,3,0,1,0,0,0,0,2,-0.300446889,5,4,4,4,5,4
104,4,3,0,0,0,0,0,1,1,0.456991702,4,3,3,3,3,2
114,4,3,0,0,0,0,0,1,1,-1.066032382,4,4,5,3,5,3
206,3,3,0,0,0,0,0,1,1,0.980124658,4,3,5,5,4,2
210,1,3,0,0,0,0,0,1,1,0.724629511,3,2,4,4,3,3
228,5,3,0,0,0,0,0,1,1,0.105681689,4,2,4,4,4,4
232,2,3,0,0,0,0,0,1,1,-0.435896279,4,4,3,4,4,3
234,3,3,0,0,0,0,0,1,1,-0.140048201,5,4,5,3,3,4
117,4,3,0,1,0,0,0,0,1,1.222402019,5,4,4,4,5,4
201,5,3,0,1,0,0,0,0,1,0.790538137,4,1,4,3,4,3
221,2,3,0,1,0,0,0,0,1,0.70966227,3,2,5,3,4,3
205,2,3,0,1,0,0,0,0,1,0.433563466,1,3,4,1,5,1
101,1,3,0,1,0,0,0,0,1,0.178190888,4,5,5,5,5,4
111,1,3,0,1,0,0,0,0,1,0.174822338,5,4,5,4,5,3
203,5,3,0,1,0,0,0,0,1,0.019196495,3,2,5,4,5,2
119,4,3,0,1,0,0,0,0,1,-0.366109238,5,4,4,3,4,3
214,6,4,0,1,0,0,0,0,4,0.929332872,3,3,4,3,3,3
216,6,4,0,1,0,0,0,0,4,0.358988814,4,2,4,2,3,2
222,8,4,0,1,0,0,0,0,4,0.324081895,4,3,3,3,3,3
204,5,4,0,1,0,0,0,0,4,0.113863269,4,2,5,2,4,3
210,6,4,0,1,0,0,0,0,4,-0.347535637,3,2,4,4,3,3
118,8,4,0,1,0,0,0,0,4,-0.413619422,4,3,5,4,5,5
102,1,4,0,1,0,0,0,0,3,1.256051901,4,3,4,3,3,3
228,4,4,0,1,0,0,0,0,3,0.946578701,4,2,4,4,4,4
112,2,4,0,1,0,0,0,0,3,0.863802726,5,5,5,5,5,3
238,8,4,0,1,0,0,0,0,3,0.53388034,4,3,5,4,4,3
234,8,4,0,1,0,0,0,0,3,0.466482495,5,4,5,3,3,4
232,5,4,0,1,0,0,0,0,3,0.454900298,4,4,3,4,4,3
220,7,4,0,1,0,0,0,0,3,0.020661102,4,3,2,2,4,2
218,6,4,0,1,0,0,0,0,3,0.008328152,4,3,4,3,3,4
116,1,4,0,1,0,0,0,0,3,-0.014641539,4,4,4,3,4,3
236,2,4,0,1,0,0,0,0,3,-0.148577887,3,2,3,3,4,4
240,8,4,0,1,0,0,0,0,3,-1.857789623,4,2,4,3,4,5
105,2,4,0,0,0,0,0,1,3,1.018882017,3,4,4,2,4,4
209,2,4,0,0,0,0,0,1,3,0.323855217,3,2,4,2,5,3
213,4,4,0,0,0,0,0,1,3,0.689773411,2,1,2,2,4,3
223,8,4,0,0,0,0,0,1,3,0.352086148,3,2,4,3,4,4
227,1,4,0,0,0,0,0,1,3,1.821352427,5,4,3,2,4,4
231,6,4,0,0,0,0,0,1,3,0.332705313,3,1,5,3,4,3
208,1,4,0,1,0,0,0,0,2,2.748815199,3,1,3,2,4,4
202,7,4,0,1,0,0,0,0,2,2.189079733,4,3,3,3,3,3
230,2,4,0,1,0,0,0,0,2,1.577167303,2,1,4,1,4,1
226,5,4,0,1,0,0,0,0,2,1.534629214,2,2,4,1,3,2
110,3,4,0,1,0,0,0,0,2,1.496934474,5,5,4,3,4,3
108,3,4,0,1,0,0,0,0,2,1.082590898,5,3,3,4,5,3
106,5,4,0,1,0,0,0,0,2,0.774520792,4,4,4,4,4,3
206,6,4,0,1,0,0,0,0,2,0.682014452,4,3,5,5,4,2
114,5,4,0,1,0,0,0,0,2,0.442803249,4,4,5,3,5,3
212,7,4,0,1,0,0,0,0,2,0.294716978,3,2,4,3,3,2
101,6,4,0,0,0,0,0,1,2,1.421750519,4,5,5,5,5,4
107,4,4,0,0,0,0,0,1,2,-0.378718542,5,4,4,4,5,4
117,2,4,0,0,0,0,0,1,2,-0.512391353,5,4,4,4,5,4
119,7,4,0,0,0,0,0,1,2,-0.053874689,5,4,4,3,4,3
215,4,4,0,0,0,0,0,1,2,1.62544043,3,1,2,3,5,4
217,2,4,0,0,0,0,0,1,2,-0.122255688,3,2,4,3,4,4
221,5,4,0,0,0,0,0,1,2,0.686449428,3,2,5,3,4,3
225,4,4,0,0,0,0,0,1,2,1.330753431,4,2,4,2,4,4
229,2,4,0,0,0,0,0,1,2,-0.000228091,4,2,2,3,2,2
233,8,4,0,0,0,0,0,1,2,-0.471366576,3,2,3,2,2,2
235,5,4,0,0,0,0,0,1,2,1.497269294,4,3,4,2,4,3
237,4,4,0,0,0,0,0,1,2,1.09646859,5,4,4,5,4,3
239,6,4,0,0,0,0,0,1,2,1.69068769,4,3,4,3,3,3
241,4,4,0,0,0,0,0,1,2,0.280320014,3,3,4,3,4,4
224,3,4,0,1,0,0,0,0,1,0.478641398,4,4,3,3,3,3
104,7,4,0,1,0,0,0,0,1,0.299725889,4,3,3,3,3,2
103,6,4,0,0,0,0,0,1,1,1.413366014,4,2,4,5,5,4
109,6,4,0,0,0,0,0,1,1,0.435966289,4,2,4,4,3,4
111,6,4,0,0,0,0,0,1,1,-0.322692912,5,4,5,4,5,3
113,3,4,0,0,0,0,0,1,1,-0.745211441,4,4,4,4,4,3
115,4,4,0,0,0,0,0,1,1,-3.058967613,4,5,4,3,4,4
201,8,4,0,0,0,0,0,1,1,0.342951941,4,1,4,3,4,3
203,8,4,0,0,0,0,0,1,1,0.084581831,3,2,5,4,5,2
